0.01	1	1.169358743132584
0.01	1.05	1.1693587432135129
0.01	1.1	1.1693587424863394
0.01	1.2	1.169358741118943
0.01	1.5	1.1693587370316012
0.01	2	1.1693587322160868
0.01	5	1.1693587244547403
0.01	10	1.1693587235595888
0.01	20	1.1693587235054823
0.01	100	1.1693587232497624
0.015	1	1.16935877139072
0.015	1.05	1.1693587718556118
0.015	1.1	1.1693587720797005
0.015	1.2	1.169358771628613
0.015	1.5	1.1693587685597981
0.015	2	1.1693587635306169
0.015	5	1.169358754899499
0.015	10	1.1693587531833571
0.015	20	1.169358753238566
0.015	100	1.1693587529836846
0.02	1	1.1693587925709963
0.02	1.05	1.1693587938414476
0.02	1.1	1.169358794370894
0.02	1.2	1.1693587947587036
0.02	1.5	1.1693587927388935
0.02	2	1.169358787999779
0.02	5	1.1693587790324185
0.02	10	1.1693587774844265
0.02	20	1.169358777012667
0.02	100	1.169358776807345
0.05	1	1.1649672115574934
0.05	1.05	1.1693512453068917
0.05	1.1	1.169358490272683
0.05	1.2	1.169358850096614
0.05	1.5	1.169358859922696
0.05	2	1.1693588561957007
0.05	5	1.1693588500793817
0.05	10	1.1693588487844824
0.05	20	1.1693588486383149
0.05	100	1.1693588485922028
0.1	1	0.0
0.1	1.05	1.1038242033146457
0.1	1.1	1.0947735555696512
0.1	1.2	1.122714127291048
0.1	1.5	1.169358875949883
0.1	2	1.1693588736749623
0.1	5	1.1693588716870387
0.1	10	1.169358871457734
0.1	20	1.169358871483156
0.1	100	1.1693588715623506
0.5	1	0.0
0.5	1.05	0.0
0.5	1.1	0.0
0.5	1.2	0.0
0.5	1.5	1.1693588740406407
0.5	2	1.1693588740406407
0.5	5	1.1693588740406407
0.5	10	1.1693588740406407
0.5	20	1.1693588740406407
0.5	100	1.1693588740406407
1	1	0.0
1	1.05	0.0
1	1.1	0.0
1	1.2	0.0
1	1.5	1.1693588740406407
1	2	1.1693588740406407
1	5	1.1693588740406407
1	10	1.1693588740406407
1	20	1.1693588740406407
1	100	1.1693588740406407
0.01	1	1.169358743132584
0.01	1.05	1.1693587432135129
0.01	1.1	1.1693587424863394
0.01	1.2	1.169358741118943
0.01	1.5	1.1693587370316012
0.01	2	1.1693587322160868
0.01	1	1.169358786377543
0.01	1.05	1.1693587901571423
0.01	1.1	1.1693587920883932
0.01	1.2	1.1693587943178592
0.01	1.5	1.1693587946280415
0.01	2	1.1693587904759035
0.01	5	1.1693587817574382
0.01	10	1.169358779881926
0.01	20	1.169358779119029
0.01	100	1.1693587793919786
0.015	1	1.1693587732415327
0.015	1.05	1.1693588084951974
0.015	1.1	1.1693588183274422
0.015	1.2	1.169358824647435
0.015	1.5	1.1693588270215147
0.015	2	1.1693588245312536
0.015	5	1.1693588161684068
0.015	10	1.1693588144501565
0.015	20	1.1693588140678286
0.015	100	1.1693588138173587
0.02	1	1.1693540655712704
0.02	1.05	1.169358559489353
0.02	1.1	1.1693587963426864
0.02	1.2	1.169358841821379
0.02	1.5	1.1693588472912306
0.02	2	1.1693588449824435
0.02	5	1.1693588379721729
0.02	10	1.169358836395098
0.02	20	1.169358836021732
0.02	100	1.1693588360895353
0.05	1	1.1140620609747545
0.05	1.05	1.1064987123078456
0.05	1.1	1.0951750926980448
0.05	1.2	0.0
0.05	1.5	1.169358874796237
0.05	2	1.169358873840005
0.05	5	1.1693588721441042
0.05	10	1.169358871637963
0.05	20	1.1693588716825782
0.05	100	1.1693588717447096
0.1	1	0.0
0.1	1.05	0.0
0.1	1.1	0.0
0.1	1.2	0.0
0.1	1.5	1.1693588706066647
0.1	2	1.169358873998772
0.1	5	1.1693588740407856
0.1	10	1.169358874045139
0.1	20	1.1693588740419456
0.1	100	1.1693588740435257
0.5	1	0.0
0.5	1.05	0.0
0.5	1.1	0.0
0.5	1.2	0.0
0.5	1.5	1.1693588740406407
0.5	2	1.1693588740406407
0.5	5	1.1693588740406407
0.5	10	1.1693588740406407
0.5	20	1.1693588740406407
0.5	100	1.1693588740406407
1	1	0.0
1	1.05	0.0
1	1.1	0.0
1	1.2	0.0
1	1.5	1.1693588740406407
1	2	1.1693588740406407
1	5	1.1693588740406407
1	10	1.1693588740406407
1	20	1.1693588740406407
1	100	1.1693588740406407
